text,category,text_length,word_count
Subtle malicious prompt with polite phrasing 1,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 2,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 3,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 4,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 5,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 6,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 7,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 8,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 9,Contains Numbers/Code,46,7
Subtle malicious prompt with polite phrasing 10,Contains Numbers/Code,47,7
